essential;основной, существенный, неотъемлемый
passing;преходящий
durable;длительный, прочный
obsolete;устарелый
raw;сырой, необработанный, неопытный
wrong;неправильный, ошибочный
expansive;дорогой
faulty;ошибочный, неисправный
serios;серьезный, важный
supposed;мнимый, предполагаемый
particular;особенный, отдельный, подробный
recent;новый
rich;богатый, обильный, ценный, яркий
efficient;эффективный, квалифицированный, умелый
feasible;возможный, осуществимый
plain;ясный, простой, очевидный
stragle;чужой, незнакомый, странный
