response;ответ, отклик
request;запрос, просьба
resolve;решение, намерени
essential;сущность
passing;переход, прохождение
rejection;отказ, отклонение
thing;факт, вещь, дело, существо
meaning;значение, смысл
expens;расход
tangle;путаница
cause;причина, сторона, дело 
pass;проход, пропуск
reason;причина, повод, основание, разум
fault; ошибка, недостаток
particular;деталь, подробность
post;почта, пост, столб, подпорка
relation;отношение, связь, повествование
attribut;свойство, признак
scalability;маштабируемость
plug;пробка, затычка, штепсель
storage;хранение, склад
persistence;постоянство, упорство, настойчивость
shift;изменение,  передвижение
event;событие, случай, исход, результат
purpose;цель, намерение
extent;размер, степень, протяжение
description;описание,вид, род, сорт, изображение
property;свойство, имущество, собственность
capture;захват, добыча
providence;предусмотрительность, бережливость
richness;богатство, яркость
efficiency;эффективность, производительность
shift;изменение, передвижение
rendering;перевод
hope;надежда
ease;покой, легкость, непринужденность
divigence;старание, прилежание
issue;истечение, выход, исход
